state,Date,value
Date,2020-02-24,0
Date,2020-02-25,0
Date,2020-02-26,0
Date,2020-02-27,0
Date,2020-02-28,0
Date,2020-02-29,0
Date,2020-03-01,0
Date,2020-03-02,0
Date,2020-03-03,0
Date,2020-03-04,0
Date,2020-03-05,0
Date,2020-03-06,0
Date,2020-03-07,0
Date,2020-03-08,0
Date,2020-03-09,0
Date,2020-03-10,0
Date,2020-03-11,0
Date,2020-03-12,0
Date,2020-03-13,0
Date,2020-03-14,0
Date,2020-03-15,0
24 Feb,2020-02-24,0
24 Feb,2020-02-25,14
24 Feb,2020-02-26,0
24 Feb,2020-02-27,0
24 Feb,2020-02-28,0
24 Feb,2020-02-29,0
24 Feb,2020-03-01,0
24 Feb,2020-03-02,0
24 Feb,2020-03-03,0
24 Feb,2020-03-04,0
24 Feb,2020-03-05,0
24 Feb,2020-03-06,0
24 Feb,2020-03-07,0
24 Feb,2020-03-08,0
24 Feb,2020-03-09,0
24 Feb,2020-03-10,0
24 Feb,2020-03-11,2
24 Feb,2020-03-12,16
24 Feb,2020-03-13,0
24 Feb,2020-03-14,0
24 Feb,2020-03-15,0
25 Feb,2020-02-24,1
25 Feb,2020-02-25,14
25 Feb,2020-02-26,0
25 Feb,2020-02-27,0
25 Feb,2020-02-28,0
25 Feb,2020-02-29,0
25 Feb,2020-03-01,0
25 Feb,2020-03-02,0
25 Feb,2020-03-03,0
25 Feb,2020-03-04,1
25 Feb,2020-03-05,0
25 Feb,2020-03-06,0
25 Feb,2020-03-07,0
25 Feb,2020-03-08,0
25 Feb,2020-03-09,0
25 Feb,2020-03-10,0
25 Feb,2020-03-11,2
25 Feb,2020-03-12,18
25 Feb,2020-03-13,0
25 Feb,2020-03-14,2
25 Feb,2020-03-15,0
26 Feb,2020-02-24,3
26 Feb,2020-02-25,14
26 Feb,2020-02-26,0
26 Feb,2020-02-27,0
26 Feb,2020-02-28,0
26 Feb,2020-02-29,0
26 Feb,2020-03-01,0
26 Feb,2020-03-02,0
26 Feb,2020-03-03,0
26 Feb,2020-03-04,2
26 Feb,2020-03-05,0
26 Feb,2020-03-06,0
26 Feb,2020-03-07,0
26 Feb,2020-03-08,0
26 Feb,2020-03-09,0
26 Feb,2020-03-10,0
26 Feb,2020-03-11,2
26 Feb,2020-03-12,21
