Type,Name,2/18,2/19,2/20,2/21,2/22,2/23,2/24,2/25,2/26,2/27,2/28,2/29,3/1,3/2,3/3,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,3/12,3/13,3/14,3/15,3/16,3/17
country,Global,-1,3,-1,-2,1,4,1,1,-2,-3,-1,1,0,-8,-9,-6,-7,-7,-4,-3,-14,-18,-19,-28,-36,-40,-47,-56,-83
country,Australia,-3,-6,-3,-1,0,0,0,-2,-2,-7,0,-1,4,-12,-6,-12,-8,-6,-3,-4,-10,-4,-10,-12,-8,-11,-12,-30,-43
country,Canada,-5,0,-3,-2,-1,8,-2,-3,1,-12,-8,-4,-7,-12,-7,-2,-4,-8,-9,-1,-13,-18,-19,-28,-40,-41,-47,-60,-94
country,Germany,11,4,3,5,1,2,11,4,5,5,11,7,9,-8,0,-4,-6,-7,4,11,-10,-16,-11,-17,-28,-38,-46,-63,-90
country,Ireland,2,0,4,1,-3,4,-9,-8,-10,-2,-10,-13,10,-6,-7,-1,-15,-13,-5,4,-10,-28,-27,-46,-51,-52,-75,-70,-86
country,Mexico,-5,-5,-4,-3,-1,2,-1,-3,-9,-7,-10,-5,-7,-7,-10,-6,-6,-8,-2,-5,-19,-16,-15,-16,-16,-21,-35,-48,-62
country,United Kingdom,1,-1,-2,0,-1,-4,-6,-5,-5,-8,-2,-3,-2,-7,-11,-9,-12,-5,-3,1,-18,-17,-14,-24,-26,-20,-31,-52,-82
country,United States,0,4,0,-1,2,6,2,2,-1,-1,1,3,2,-7,-9,-5,-5,-6,-3,-2,-14,-18,-19,-28,-36,-42,-48,-56,-84
state,Alabama,-14,7,1,-2,8,2,1,0,-8,-3,-3,-11,2,-32,-29,-23,-15,-3,11,-10,-11,-26,-8,-2,-24,-28,-38,-57,-74
state,Alberta,2,10,2,1,5,0,-1,3,-1,-4,3,2,-4,-10,-4,-1,-8,1,-16,-7,-13,-10,-8,-23,-43,-44,-49,-65,-89
