location,category,th_1,th_5,th_10,th_25,th_50,th_100
Afghanistan,cumulative cases,2020-02-25,2020-03-12,2020-03-15,NA,NA,NA
Albania,cumulative cases,2020-02-25,2020-03-11,2020-03-11,2020-03-14,2020-03-17,NA
Albania,cumulative deaths,2020-03-14,NA,NA,NA,NA,NA
Algeria,cumulative cases,2020-02-25,2020-03-03,2020-03-05,2020-03-12,2020-03-17,NA
Algeria,cumulative deaths,2020-03-12,NA,NA,NA,NA,NA
Andorra,cumulative cases,2020-02-25,2020-03-17,2020-03-17,NA,NA,NA
Argentina,cumulative cases,2020-02-25,2020-03-08,2020-03-09,2020-03-13,2020-03-16,NA
Argentina,cumulative deaths,2020-03-08,NA,NA,NA,NA,NA
Armenia,cumulative cases,2020-02-25,2020-03-14,2020-03-16,2020-03-16,2020-03-17,NA
Australia,cumulative cases,2020-02-25,2020-01-28,2020-02-01,2020-03-01,2020-03-05,2020-03-11
Australia,cumulative deaths,2020-03-02,2020-03-16,NA,NA,NA,NA
Austria,cumulative cases,2020-02-25,2020-02-29,2020-03-01,2020-03-05,2020-03-07,2020-03-08
Austria,cumulative deaths,2020-03-13,NA,NA,NA,NA,NA
Azerbaijan,cumulative cases,2020-02-25,2020-03-07,2020-03-13,NA,NA,NA
Bahrain,cumulative cases,NA,NA,2020-02-26,2020-02-26,2020-03-08,2020-03-10
Bahrain,cumulative deaths,2020-03-16,NA,NA,NA,NA,NA
Bangladesh,cumulative cases,2020-02-25,2020-03-16,NA,NA,NA,NA
Belarus,cumulative cases,2020-02-25,2020-03-05,2020-03-12,2020-03-16,NA,NA
Belgium,cumulative cases,2020-02-25,2020-03-03,2020-03-05,2020-03-06,2020-03-06,2020-03-07
Belgium,cumulative deaths,2020-03-16,2020-03-16,NA,NA,NA,NA
Bolivia,cumulative cases,2020-02-25,2020-03-16,2020-03-16,NA,NA,NA
Bosnia and Herzegovina,cumulative cases,2020-02-25,2020-03-14,2020-03-14,NA,NA,NA
Brazil,cumulative cases,2020-02-25,2020-03-06,2020-03-07,2020-03-09,2020-03-12,2020-03-15
Brunei,cumulative cases,2020-02-25,2020-03-12,2020-03-12,2020-03-14,2020-03-16,NA
Bulgaria,cumulative cases,2020-02-25,2020-03-11,2020-03-15,2020-03-15,2020-03-16,NA
Bulgaria,cumulative deaths,2020-03-12,NA,NA,NA,NA,NA
Burkina Faso,cumulative cases,2020-02-25,2020-03-17,2020-03-17,NA,NA,NA
Cambodia,cumulative cases,2020-02-25,2020-03-13,2020-03-16,NA,NA,NA
Cameroon,cumulative cases,2020-02-25,2020-03-17,NA,NA,NA,NA
Canada,cumulative cases,2020-02-25,2020-02-05,2020-02-25,2020-03-03,2020-03-07,2020-03-13
Canada,cumulative deaths,2020-03-11,NA,NA,NA,NA,NA
Cayman Islands,cumulative deaths,2020-03-16,NA,NA,NA,NA,NA
